"","period.group","period","group","year","month","u","v"
"1","1993-01:1","1993-01",1,1993,1,-0.0393431900132944,0.0637515152904039
"2","1994-01:1","1994-01",1,1994,1,-0.0349671204412363,0.0810904460448386
"3","1995-01:1","1995-01",1,1995,1,-0.0531426187814094,0.146837098974909
"4","1996-01:1","1996-01",1,1996,1,-0.0419335592942179,0.0786890862653303
"5","1997-01:1","1997-01",1,1997,1,-0.056001374389191,0.120011992889813
"6","1998-01:1","1998-01",1,1998,1,-0.0649299573145206,0.145316170181725
"7","1999-01:1","1999-01",1,1999,1,-0.0304513874089933,0.0583135329921946
"8","2000-01:1","2000-01",1,2000,1,-0.038861935226354,0.0829575747304443
"9","2001-01:1","2001-01",1,2001,1,-0.0265371997577278,0.119626983490769
"10","2002-01:1","2002-01",1,2002,1,-0.0480400645827592,0.115009300406286
"11","2003-01:1","2003-01",1,2003,1,-0.0536772762123157,0.131188856829145
"12","2004-01:1","2004-01",1,2004,1,-0.0659158911029005,0.127964293561851
"13","2005-01:1","2005-01",1,2005,1,-0.0534577487533503,0.0753437034170426
"14","2006-01:1","2006-01",1,2006,1,-0.0645145970794444,0.126317595002461
"15","2007-01:1","2007-01",1,2007,1,-0.0211888628352409,0.0641846381087952
"16","2008-01:1","2008-01",1,2008,1,-0.0523896700196,0.112752927872943
"17","2009-01:1","2009-01",1,2009,1,-0.023837556086392,0.0733906366791981
"18","2010-01:1","2010-01",1,2010,1,-0.0838261810228843,0.187863109789479
"19","2011-01:1","2011-01",1,2011,1,-0.0535678067709097,0.0979747392441514
"20","2012-01:1","2012-01",1,2012,1,-0.0576383749735326,0.128178437914727
"21","2013-01:1","2013-01",1,2013,1,-0.0291892458703586,0.085692474770285
"22","2014-01:1","2014-01",1,2014,1,-0.0408045366992249,0.105397917306166
"23","2015-01:1","2015-01",1,2015,1,-0.0300791772217535,0.10903690331813
"24","2016-01:1","2016-01",1,2016,1,-0.068069828279693,0.170797616650716
"25","2017-01:1","2017-01",1,2017,1,-0.0454308554344394,0.0774776243280131
"26","2018-01:1","2018-01",1,2018,1,-0.0582881932289489,0.129009908926101
"27","2019-01:1","2019-01",1,2019,1,-0.0660435020820794,0.116821971269039
"28","2020-01:1","2020-01",1,2020,1,-0.0539175097236274,0.101115997071902
"29","2021-01:1","2021-01",1,2021,1,-0.0537164622846572,0.145796476017438
