"","period.group","period","group","year","month","u","v"
"1","1993-01:0","1993-01",0,1993,1,0.00592228143747906,0.0058964679648035
"2","1994-01:0","1994-01",0,1994,1,0.0107076673364102,0.00124349049270521
"3","1995-01:0","1995-01",0,1995,1,0.000378529324712264,0.00557693403496659
"4","1996-01:0","1996-01",0,1996,1,0.0049609292529184,0.00673717473484587
"5","1997-01:0","1997-01",0,1997,1,0.00358348196589128,0.0087356104140833
"6","1998-01:0","1998-01",0,1998,1,0.00122837056358068,0.00490555144891867
"7","1999-01:0","1999-01",0,1999,1,0.0145070203782548,-0.00276698100822569
"8","2000-01:0","2000-01",0,2000,1,0.0122138026195317,-0.00876076844992882
"9","2001-01:0","2001-01",0,2001,1,0.0203929492871556,-0.0046641751264425
"10","2002-01:0","2002-01",0,2002,1,0.0158059083551721,-0.0058064647371843
"11","2003-01:0","2003-01",0,2003,1,0.00527680109169048,0.0102832075809914
"12","2004-01:0","2004-01",0,2004,1,0.000262877741605789,0.0142578595877491
"13","2005-01:0","2005-01",0,2005,1,0.00515028483179683,0.0125568957909114
"14","2006-01:0","2006-01",0,2006,1,0.0112833762072137,-0.0107822109313693
"15","2007-01:0","2007-01",0,2007,1,0.0186866127419917,-0.00366584723960044
"16","2008-01:0","2008-01",0,2008,1,0.0146181052956864,-0.00736258089132381
"17","2009-01:0","2009-01",0,2009,1,0.0159993306273137,0.00126104625338126
"18","2010-01:0","2010-01",0,2010,1,0.00143831384322992,0.00504154256814876
"19","2011-01:0","2011-01",0,2011,1,0.0145342855994943,0.00946415415912617
"20","2012-01:0","2012-01",0,2012,1,0.0083953570581465,0.000146899657462732
"21","2013-01:0","2013-01",0,2013,1,0.0208669711291798,-0.00127653158427141
"22","2014-01:0","2014-01",0,2014,1,0.0196407211982843,-0.00141660735231951
"23","2015-01:0","2015-01",0,2015,1,0.00385670497846927,0.0104179852799968
"24","2016-01:0","2016-01",0,2016,1,0.013394672222641,-0.000405419440882531
"25","2017-01:0","2017-01",0,2017,1,0.00612342781451588,0.00427120539152421
"26","2018-01:0","2018-01",0,2018,1,0.0110761614352053,-0.0055994501634325
"27","2019-01:0","2019-01",0,2019,1,0.0152906997881373,0.00412868669359947
"28","2020-01:0","2020-01",0,2020,1,0.0134542988874169,-0.00720912975313237
"29","2021-01:0","2021-01",0,2021,1,0.0230276110598869,-0.0130022228636164
