"","period.group","period","group","year","month","u","v"
"1","1993-01:3","1993-01",3,1993,1,-0.0732648590051685,0.100372243672985
"2","1994-01:3","1994-01",3,1994,1,-0.0231901678174697,0.0465679728306538
"3","1995-01:3","1995-01",3,1995,1,-0.0566868954419724,0.0938492893639701
"4","1996-01:3","1996-01",3,1996,1,-0.0561773764261651,0.061890828904298
"5","1997-01:3","1997-01",3,1997,1,-0.0296828702608428,0.0700506711411898
"6","1998-01:3","1998-01",3,1998,1,-0.0515839452710934,0.112711637389597
"7","1999-01:3","1999-01",3,1999,1,-0.0480950902808322,0.0644546547788567
"8","2000-01:3","2000-01",3,2000,1,-0.0496430054693445,0.0684094648741546
"9","2001-01:3","2001-01",3,2001,1,-0.0379246803649,0.0823334058030256
"10","2002-01:3","2002-01",3,2002,1,-0.0435300400842152,0.0585493410855153
"11","2003-01:3","2003-01",3,2003,1,-0.0267060492281003,0.0865696399910085
"12","2004-01:3","2004-01",3,2004,1,-0.0591344560156225,0.103732089718146
"13","2005-01:3","2005-01",3,2005,1,-0.0494382351552682,0.0888400308385257
"14","2006-01:3","2006-01",3,2006,1,-0.0562496769548631,0.0769735030823532
"15","2007-01:3","2007-01",3,2007,1,-0.0237201390934792,0.0435473473864628
"16","2008-01:3","2008-01",3,2008,1,-0.0314183621972062,0.0621281896060372
"17","2009-01:3","2009-01",3,2009,1,-0.0405163505560326,0.0530704816876337
"18","2010-01:3","2010-01",3,2010,1,-0.0843168905545,0.150292039592314
"19","2011-01:3","2011-01",3,2011,1,-0.0677513996233011,0.083227759202839
"20","2012-01:3","2012-01",3,2012,1,-0.0305952526115943,0.0632468778250722
"21","2013-01:3","2013-01",3,2013,1,-0.0347061758714021,0.0495758531600663
"22","2014-01:3","2014-01",3,2014,1,-0.0248601983362371,0.0466295888958859
"23","2015-01:3","2015-01",3,2015,1,-0.0258780030891667,0.0631095065116631
"24","2016-01:3","2016-01",3,2016,1,-0.0799483277206168,0.1205954753032
"25","2017-01:3","2017-01",3,2017,1,-0.0730934163897028,0.112791654508734
"26","2018-01:3","2018-01",3,2018,1,-0.0546491156733077,0.0913478081445941
"27","2019-01:3","2019-01",3,2019,1,-0.0566003437176599,0.100876844192303
"28","2020-01:3","2020-01",3,2020,1,-0.0378247051454322,0.0734596933289058
"29","2021-01:3","2021-01",3,2021,1,-0.0539831727479973,0.0901096376382221
"30","2022-01:3","2022-01",3,2022,1,-0.0583004351594589,0.0795065389993933
